amount,type,category,account,description,date,tags
2994,income,salary,checking,Salary,2024-02-24,salary;salary
3428,income,salary,wallet,Salary,2024-01-25,monthly;payroll
3409,expense,rent,savings,Spending on rent,2024-05-20,recurring;recurring
502,expense,transport,checking,Spending on transport,2024-03-26,transport;transport
4571,income,salary,savings,Salary,2024-01-30,monthly;payroll
2053,income,salary,wallet,Salary,2024-10-27,monthly;payroll
3949,expense,food,credit_card,Spending on food,2024-12-24,weekly;food
2219,expense,shopping,checking,Spending on shopping,2024-09-28,weekly;recurring
2169,expense,rent,wallet,Spending on rent,2024-12-15,weekly;weekly
9664,income,salary,credit_card,Salary,2024-11-22,monthly;payroll
3102,expense,transport,wallet,Spending on transport,2024-07-07,weekly;budget
2325,expense,utilities,wallet,Spending on utilities,2024-03-17,recurring;budget
4190,expense,entertainment,savings,Spending on entertainment,2024-06-28,budget;weekly
7438,income,salary,credit_card,Salary,2024-03-07,monthly;monthly
164,expense,entertainment,savings,Spending on entertainment,2024-04-08,entertainment;essentials
1436,expense,transport,checking,Spending on transport,2024-09-10,weekly;weekly
977,expense,transport,checking,Spending on transport,2024-03-30,essentials;essentials
2663,expense,transport,savings,Spending on transport,2024-02-07,transport;budget
449,expense,food,checking,Spending on food,2024-06-05,food;food
126,expense,utilities,credit_card,Spending on utilities,2024-06-16,recurring;budget
2155,expense,shopping,checking,Spending on shopping,2024-08-22,shopping;budget
3097,expense,shopping,wallet,Spending on shopping,2024-07-15,essentials;shopping
7362,income,salary,savings,Salary,2024-12-30,salary;monthly
2010,expense,entertainment,savings,Spending on entertainment,2024-06-05,essentials;budget
220,expense,food,checking,Spending on food,2024-02-18,essentials;recurring
1393,expense,rent,savings,Spending on rent,2024-11-05,weekly;essentials
693,expense,entertainment,credit_card,Spending on entertainment,2024-10-26,recurring;recurring
1768,expense,entertainment,savings,Spending on entertainment,2024-08-14,budget;entertainment
4689,expense,utilities,checking,Spending on utilities,2024-06-27,utilities;budget
3414,expense,entertainment,savings,Spending on entertainment,2024-03-23,recurring;weekly
441,expense,shopping,savings,Spending on shopping,2024-01-11,recurring;shopping
3549,expense,transport,wallet,Spending on transport,2024-11-07,budget;recurring
3696,expense,entertainment,wallet,Spending on entertainment,2024-04-28,entertainment;entertainment
8177,income,salary,checking,Salary,2024-06-29,payroll;monthly
5378,income,salary,checking,Salary,2024-03-10,payroll;payroll
707,expense,utilities,wallet,Spending on utilities,2024-03-18,budget;budget
4914,expense,food,checking,Spending on food,2024-05-20,essentials;essentials
